 x1.net9         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(V_i_in)       i(vmeas_i_out_ladder) i(vmeas_dump)   i(vmeas_i_out) 
 5.95789264e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  4.26441970e-06  2.04803836e-06  2.23742018e-06  2.62830715e-06 
 5.95209353e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  4.26442829e-06  2.07203531e-06  2.21344544e-06  2.65085888e-06 
 5.95533324e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  4.26442478e-06  2.05865650e-06  2.22681363e-06  2.63828608e-06 
 5.95416351e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  4.26442706e-06  2.06349569e-06  2.22197950e-06  2.64283378e-06 
 5.96952715e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26440967e-06  1.99926375e-06  2.28614475e-06  2.58246305e-06 
 5.95279468e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26443019e-06  2.06914792e-06  2.21633318e-06  2.64814549e-06 
 5.95252222e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26443122e-06  2.07027209e-06  2.21521065e-06  2.64920190e-06 
 5.94874027e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26443607e-06  2.08581816e-06  2.19967635e-06  2.66381063e-06 
 5.95195033e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26443323e-06  2.07262986e-06  2.21285603e-06  2.65141757e-06 
 5.94691009e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26443904e-06  2.09330983e-06  2.19219030e-06  2.67085025e-06 
 5.94786559e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26443859e-06  2.08940227e-06  2.19609609e-06  2.66717849e-06 
 5.94632491e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26444052e-06  2.09570144e-06  2.18980102e-06  2.67309747e-06 
 5.95068202e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26443707e-06  2.07785097e-06  2.20764114e-06  2.65632391e-06 
 5.94519027e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26444245e-06  2.10033149e-06  2.18517428e-06  2.67744799e-06 
 5.94538622e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26444270e-06  2.09953309e-06  2.18597277e-06  2.67669781e-06 
 5.94368535e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26444446e-06  2.10645976e-06  2.17904972e-06  2.68320615e-06 
 5.94586776e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26444318e-06  2.09756967e-06  2.18793595e-06  2.67485292e-06 
 5.94305079e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26444563e-06  2.10903981e-06  2.17647138e-06  2.68563033e-06 
 5.94400287e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26444531e-06  2.10516928e-06  2.18034078e-06  2.68199362e-06 
 5.94317140e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.26444620e-06  2.10855048e-06  2.17696122e-06  2.68517059e-06 
 5.94745959e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26444399e-06  2.09106856e-06  2.19443580e-06  2.66874419e-06 
 5.94221649e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26444737e-06  2.11242855e-06  2.17308518e-06  2.68881428e-06 
 5.94201998e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26444776e-06  2.11322609e-06  2.17228821e-06  2.68956362e-06 
 5.94049886e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26444882e-06  2.11938930e-06  2.16612712e-06  2.69535434e-06 
 5.94157205e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26444853e-06  2.11504296e-06  2.17047248e-06  2.69127071e-06 
 5.93952139e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26444967e-06  2.12334251e-06  2.16217538e-06  2.69906852e-06 
 5.93972044e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26444978e-06  2.12253824e-06  2.16297962e-06  2.69831287e-06 
 5.93895615e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26445023e-06  2.12562577e-06  2.15989289e-06  2.70121367e-06 
 5.94036453e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26444999e-06  2.11993400e-06  2.16558371e-06  2.69586610e-06 
 5.93811379e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26445076e-06  2.12902470e-06  2.15649492e-06  2.70440696e-06 
