 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.62002623e-01  1.01992396e-05  2.62002623e-01  4.58659244e-09  2.62002623e-01  2.77019860e-01 
 2.62003037e-01  1.01992394e-05  2.62003037e-01  1.84847693e-11  2.62003037e-01  2.77023764e-01 
 2.62001458e-01  1.01992393e-05  2.62001458e-01  5.96566707e-08  2.62001458e-01  2.77025707e-01 
 2.62000887e-01  1.01992392e-05  2.62000887e-01  8.76533015e-08  2.62000887e-01  2.77028675e-01 
 2.61998288e-01  1.01992391e-05  2.61998288e-01  2.15306986e-07  2.61998288e-01  2.77029794e-01 
 2.61998241e-01  1.01992390e-05  2.61998241e-01  2.17598739e-07  2.61998241e-01  2.77033333e-01 
 2.61996146e-01  1.01992389e-05  2.61996146e-01  3.20318545e-07  2.61996146e-01  2.77035038e-01 
 2.61995084e-01  1.01992389e-05  2.61995084e-01  3.72295091e-07  2.61995084e-01  2.77037732e-01 
 2.61991916e-01  1.01992387e-05  2.61991916e-01  5.26596470e-07  2.61991916e-01  2.77038820e-01 
 2.61992190e-01  1.01992387e-05  2.61992190e-01  5.13334196e-07  2.61992190e-01  2.77042761e-01 
 2.61990328e-01  1.01992384e-05  2.61990328e-01  6.03608154e-07  2.61990328e-01  2.77044947e-01 
 2.61989544e-01  1.01992383e-05  2.61989544e-01  6.41557431e-07  2.61989544e-01  2.77048063e-01 
 2.61986572e-01  1.01992383e-05  2.61986572e-01  7.84922079e-07  2.61986572e-01  2.77049529e-01 
 2.61986348e-01  1.01992380e-05  2.61986348e-01  7.95694014e-07  2.61986348e-01  2.77053176e-01 
 2.61983904e-01  1.01992379e-05  2.61983904e-01  9.12893750e-07  2.61983904e-01  2.77055184e-01 
 2.61982574e-01  1.01992379e-05  2.61982574e-01  9.76488728e-07  2.61982574e-01  2.77058089e-01 
 2.61978948e-01  1.01992378e-05  2.61978948e-01  1.14892162e-06  2.61978948e-01  2.77059747e-01 
 2.61979500e-01  1.01992375e-05  2.61979500e-01  1.12275926e-06  2.61979500e-01  2.77064094e-01 
 2.61977730e-01  1.01992375e-05  2.61977730e-01  1.20658927e-06  2.61977730e-01  2.77066866e-01 
 2.61977130e-01  1.01992373e-05  2.61977130e-01  1.23496138e-06  2.61977130e-01  2.77070463e-01 
 2.61974164e-01  1.01992372e-05  2.61974164e-01  1.37462622e-06  2.61974164e-01  2.77072606e-01 
 2.61974171e-01  1.01992370e-05  2.61974171e-01  1.37429634e-06  2.61974171e-01  2.77076669e-01 
 2.61971786e-01  1.01992369e-05  2.61971786e-01  1.48604061e-06  2.61971786e-01  2.77079297e-01 
 2.61970602e-01  1.01992367e-05  2.61970602e-01  1.54130405e-06  2.61970602e-01  2.77082708e-01 
 2.61966953e-01  1.01992366e-05  2.61966953e-01  1.71089452e-06  2.61966953e-01  2.77084924e-01 
 2.61967324e-01  1.01992364e-05  2.61967324e-01  1.69367027e-06  2.61967324e-01  2.77089326e-01 
 2.61965200e-01  1.01992363e-05  2.61965200e-01  1.79192203e-06  2.61965200e-01  2.77092385e-01 
 2.61964331e-01  1.01992362e-05  2.61964331e-01  1.83195999e-06  2.61964331e-01  2.77096165e-01 
 2.61960896e-01  1.01992360e-05  2.61960896e-01  1.98965481e-06  2.61960896e-01  2.77098717e-01 
 2.61960678e-01  1.01992358e-05  2.61960678e-01  1.99960170e-06  2.61960678e-01  2.77102921e-01 
 2.61957855e-01  1.01992357e-05  2.61957855e-01  2.12834676e-06  2.61957855e-01  2.77105913e-01 
 2.61956334e-01  1.01992355e-05  2.61956334e-01  2.19742184e-06  2.61956334e-01  2.77109587e-01 
 2.61951975e-01  1.01992354e-05  2.61951975e-01  2.39411018e-06  2.61951975e-01  2.77111569e-01 
 2.61952919e-01  1.01992352e-05  2.61952919e-01  2.35169455e-06  2.61952919e-01  2.77116435e-01 
 2.61951133e-01  1.01992350e-05  2.61951133e-01  2.43193163e-06  2.61951133e-01  2.77120167e-01 
 2.61950718e-01  1.01992348e-05  2.61950718e-01  2.45054295e-06  2.61950718e-01  2.77124487e-01 
 2.61947536e-01  1.01992347e-05  2.61947536e-01  2.59262941e-06  2.61947536e-01  2.77127816e-01 
 2.61947831e-01  1.01992344e-05  2.61947831e-01  2.57953170e-06  2.61947831e-01  2.77132468e-01 
 2.61945333e-01  1.01992343e-05  2.61945333e-01  2.69049792e-06  2.61945333e-01  2.77136159e-01 
 2.61944237e-01  1.01992341e-05  2.61944237e-01  2.73900746e-06  2.61944237e-01  2.77140385e-01 
 2.61940275e-01  1.01992339e-05  2.61940275e-01  2.91344445e-06  2.61940275e-01  2.77143900e-01 
 2.61940989e-01  1.01992337e-05  2.61940989e-01  2.88211574e-06  2.61940989e-01  2.77148791e-01 
 2.61938805e-01  1.01992336e-05  2.61938805e-01  2.97778033e-06  2.61938805e-01  2.77152843e-01 
 2.61938077e-01  1.01992333e-05  2.61938077e-01  3.00955768e-06  2.61938077e-01  2.77157350e-01 
 2.61934383e-01  1.01992331e-05  2.61934383e-01  3.17007355e-06  2.61934383e-01  2.77161158e-01 
 2.61934409e-01  1.01992329e-05  2.61934409e-01  3.16894318e-06  2.61934409e-01  2.77165944e-01 
 2.61931429e-01  1.01992328e-05  2.61931429e-01  3.29751037e-06  2.61931429e-01  2.77170055e-01 
 2.61929953e-01  1.01992326e-05  2.61929953e-01  3.36091578e-06  2.61929953e-01  2.77174572e-01 
 2.61925362e-01  1.01992323e-05  2.61925362e-01  3.55663617e-06  2.61925362e-01  2.77178836e-01 
 2.61926427e-01  1.01992321e-05  2.61926427e-01  3.51140854e-06  2.61926427e-01  2.77183968e-01 
 2.61924352e-01  1.01992319e-05  2.61924352e-01  3.59944710e-06  2.61924352e-01  2.77188536e-01 
 2.61923853e-01  1.01992318e-05  2.61923853e-01  3.62056517e-06  2.61923853e-01  2.77193408e-01 
 2.61920159e-01  1.01992315e-05  2.61920159e-01  3.77606176e-06  2.61920159e-01  2.77197871e-01 
 2.61920476e-01  1.01992313e-05  2.61920476e-01  3.76280621e-06  2.61920476e-01  2.77202933e-01 
 2.61917562e-01  1.01992310e-05  2.61917562e-01  3.88462799e-06  2.61917562e-01  2.77207618e-01 
 2.61916266e-01  1.01992308e-05  2.61916266e-01  3.93854163e-06  2.61916266e-01  2.77212549e-01 
 2.61911636e-01  1.01992306e-05  2.61911636e-01  4.12983919e-06  2.61911636e-01  2.77217375e-01 
 2.61912436e-01  1.01992304e-05  2.61912436e-01  4.09694513e-06  2.61912436e-01  2.77222603e-01 
 2.61909865e-01  1.01992301e-05  2.61909865e-01  4.20245875e-06  2.61909865e-01  2.77227598e-01 
 2.61908986e-01  1.01992299e-05  2.61908986e-01  4.23839943e-06  2.61908986e-01  2.77232747e-01 
 2.61904642e-01  1.01992297e-05  2.61904642e-01  4.41482437e-06  2.61904642e-01  2.77237820e-01 
 2.61904638e-01  1.01992294e-05  2.61904638e-01  4.41500939e-06  2.61904638e-01  2.77243100e-01 
 2.61901114e-01  1.01992292e-05  2.61901114e-01  4.55675804e-06  2.61901114e-01  2.77248334e-01 
 2.61899345e-01  1.01992290e-05  2.61899345e-01  4.62748385e-06  2.61899345e-01  2.77253664e-01 
 2.61893728e-01  1.01992287e-05  2.61893728e-01  4.84985817e-06  2.61893728e-01  2.77258911e-01 
