 net3            v(b0)           net3            v(b1)           net3            v(b2)           net3            v(b3)           net3            v(b4)           net3            v(b5)           net3            v(b6)           net3            i(v_i_in)       net3            i(vi_out)      
 1.92423443e-01  0.00000000e+00  1.92423443e-01  1.80000000e+00  1.92423443e-01  0.00000000e+00  1.92423443e-01  0.00000000e+00  1.92423443e-01  1.80000000e+00  1.92423443e-01  0.00000000e+00  1.92423443e-01  0.00000000e+00  1.92423443e-01  1.00237886e-05  1.92423443e-01  3.68882203e-06 
 1.92420648e-01  1.80000000e+00  1.92420648e-01  1.80000000e+00  1.92420648e-01  0.00000000e+00  1.92420648e-01  0.00000000e+00  1.92420648e-01  1.80000000e+00  1.92420648e-01  0.00000000e+00  1.92420648e-01  0.00000000e+00  1.92420648e-01  1.00237892e-05  1.92420648e-01  3.85453837e-06 
 1.92421920e-01  0.00000000e+00  1.92421920e-01  0.00000000e+00  1.92421920e-01  1.80000000e+00  1.92421920e-01  0.00000000e+00  1.92421920e-01  1.80000000e+00  1.92421920e-01  0.00000000e+00  1.92421920e-01  0.00000000e+00  1.92421920e-01  1.00237897e-05  1.92421920e-01  3.77919513e-06 
 1.92418112e-01  1.80000000e+00  1.92418112e-01  0.00000000e+00  1.92418112e-01  1.80000000e+00  1.92418112e-01  0.00000000e+00  1.92418112e-01  1.80000000e+00  1.92418112e-01  0.00000000e+00  1.92418112e-01  0.00000000e+00  1.92418112e-01  1.00237902e-05  1.92418112e-01  4.00467584e-06 
 1.92418361e-01  0.00000000e+00  1.92418361e-01  1.80000000e+00  1.92418361e-01  1.80000000e+00  1.92418361e-01  0.00000000e+00  1.92418361e-01  1.80000000e+00  1.92418361e-01  0.00000000e+00  1.92418361e-01  0.00000000e+00  1.92418361e-01  1.00237906e-05  1.92418361e-01  3.98993568e-06 
 1.92416588e-01  1.80000000e+00  1.92416588e-01  1.80000000e+00  1.92416588e-01  1.80000000e+00  1.92416588e-01  0.00000000e+00  1.92416588e-01  1.80000000e+00  1.92416588e-01  0.00000000e+00  1.92416588e-01  0.00000000e+00  1.92416588e-01  1.00237912e-05  1.92416588e-01  4.09483749e-06 
 1.92418850e-01  0.00000000e+00  1.92418850e-01  0.00000000e+00  1.92418850e-01  0.00000000e+00  1.92418850e-01  1.80000000e+00  1.92418850e-01  1.80000000e+00  1.92418850e-01  0.00000000e+00  1.92418850e-01  0.00000000e+00  1.92418850e-01  1.00237915e-05  1.92418850e-01  3.96103651e-06 
 1.92414545e-01  1.80000000e+00  1.92414545e-01  0.00000000e+00  1.92414545e-01  0.00000000e+00  1.92414545e-01  1.80000000e+00  1.92414545e-01  1.80000000e+00  1.92414545e-01  0.00000000e+00  1.92414545e-01  0.00000000e+00  1.92414545e-01  1.00237920e-05  1.92414545e-01  4.21556041e-06 
 1.92414286e-01  0.00000000e+00  1.92414286e-01  1.80000000e+00  1.92414286e-01  0.00000000e+00  1.92414286e-01  1.80000000e+00  1.92414286e-01  1.80000000e+00  1.92414286e-01  0.00000000e+00  1.92414286e-01  0.00000000e+00  1.92414286e-01  1.00237924e-05  1.92414286e-01  4.23079333e-06 
 1.92412016e-01  1.80000000e+00  1.92412016e-01  1.80000000e+00  1.92412016e-01  0.00000000e+00  1.92412016e-01  1.80000000e+00  1.92412016e-01  1.80000000e+00  1.92412016e-01  0.00000000e+00  1.92412016e-01  0.00000000e+00  1.92412016e-01  1.00237930e-05  1.92412016e-01  4.36472876e-06 
