 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.62336122e-01  1.04640250e-05  2.62336122e-01  1.19549647e-07  2.62336122e-01  2.77770711e-01 
 2.62329582e-01  1.04640257e-05  2.62329582e-01  4.41214109e-07  2.62329582e-01  2.77755466e-01 
 2.62327961e-01  1.04640261e-05  2.62327961e-01  5.20657501e-07  2.62327961e-01  2.77745302e-01 
 2.62323915e-01  1.04640267e-05  2.62323915e-01  7.18362376e-07  2.62323915e-01  2.77732878e-01 
 2.62324698e-01  1.04640271e-05  2.62324698e-01  6.80170618e-07  2.62324698e-01  2.77725154e-01 
 2.62319454e-01  1.04640277e-05  2.62319454e-01  9.35162593e-07  2.62319454e-01  2.77711848e-01 
 2.62319022e-01  1.04640281e-05  2.62319022e-01  9.56081895e-07  2.62319022e-01  2.77703083e-01 
 2.62316190e-01  1.04640286e-05  2.62316190e-01  1.09287886e-06  2.62316190e-01  2.77692217e-01 
 2.62318158e-01  1.04640290e-05  2.62318158e-01  9.97889618e-07  2.62318158e-01  2.77685707e-01 
 2.62312323e-01  1.04640295e-05  2.62312323e-01  1.27870170e-06  2.62312323e-01  2.77672438e-01 
 2.62311274e-01  1.04640300e-05  2.62311274e-01  1.32895369e-06  2.62311274e-01  2.77663337e-01 
 2.62307849e-01  1.04640305e-05  2.62307849e-01  1.49234470e-06  2.62307849e-01  2.77652356e-01 
 2.62309152e-01  1.04640308e-05  2.62309152e-01  1.43025225e-06  2.62309152e-01  2.77645228e-01 
 2.62304537e-01  1.04640313e-05  2.62304537e-01  1.64940820e-06  2.62304537e-01  2.77633493e-01 
 2.62304648e-01  1.04640318e-05  2.62304648e-01  1.64415226e-06  2.62304648e-01  2.77625488e-01 
 2.62302394e-01  1.04640322e-05  2.62302394e-01  1.75057956e-06  2.62302394e-01  2.77615739e-01 
 2.62304897e-01  1.04640325e-05  2.62304897e-01  1.63235680e-06  2.62304897e-01  2.77609668e-01 
 2.62298786e-01  1.04640331e-05  2.62298786e-01  1.92008008e-06  2.62298786e-01  2.77597311e-01 
 2.62297407e-01  1.04640334e-05  2.62297407e-01  1.98454938e-06  2.62297407e-01  2.77588395e-01 
 2.62293683e-01  1.04640340e-05  2.62293683e-01  2.15791477e-06  2.62293683e-01  2.77577965e-01 
 2.62294625e-01  1.04640343e-05  2.62294625e-01  2.11415921e-06  2.62294625e-01  2.77570697e-01 
 2.62289731e-01  1.04640348e-05  2.62289731e-01  2.34056720e-06  2.62289731e-01  2.77559702e-01 
 2.62289497e-01  1.04640352e-05  2.62289497e-01  2.35135499e-06  2.62289497e-01  2.77551747e-01 
 2.62286933e-01  1.04640356e-05  2.62286933e-01  2.46909327e-06  2.62286933e-01  2.77542402e-01 
 2.62289029e-01  1.04640359e-05  2.62289029e-01  2.37287565e-06  2.62289029e-01  2.77535957e-01 
 2.62283542e-01  1.04640364e-05  2.62283542e-01  2.62396468e-06  2.62283542e-01  2.77525060e-01 
 2.62282705e-01  1.04640368e-05  2.62282705e-01  2.66200649e-06  2.62282705e-01  2.77516902e-01 
 2.62279550e-01  1.04640372e-05  2.62279550e-01  2.80489935e-06  2.62279550e-01  2.77507533e-01 
 2.62281011e-01  1.04640375e-05  2.62281011e-01  2.73886337e-06  2.62281011e-01  2.77500656e-01 
 2.62276689e-01  1.04640381e-05  2.62276689e-01  2.93377422e-06  2.62276689e-01  2.77490833e-01 
 2.62276985e-01  1.04640383e-05  2.62276985e-01  2.92047110e-06  2.62276985e-01  2.77483399e-01 
 2.62274966e-01  1.04640388e-05  2.62274966e-01  3.01097533e-06  2.62274966e-01  2.77474867e-01 
 2.62277642e-01  1.04640389e-05  2.62277642e-01  2.89092590e-06  2.62277642e-01  2.77471153e-01 
 2.62271405e-01  1.04640394e-05  2.62271405e-01  3.16974800e-06  2.62271405e-01  2.77460843e-01 
 2.62269809e-01  1.04640399e-05  2.62269809e-01  3.24055661e-06  2.62269809e-01  2.77452686e-01 
