 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.65682074e-01  1.02338214e-05  2.65682074e-01  4.77911755e-09  2.65682074e-01  2.80828577e-01 
 2.65676952e-01  1.02338219e-05  2.65676952e-01  2.52245709e-07  2.65676952e-01  2.80817251e-01 
 2.65675346e-01  1.02338222e-05  2.65675346e-01  3.30414515e-07  2.65675346e-01  2.80809545e-01 
 2.65672025e-01  1.02338227e-05  2.65672025e-01  4.91537307e-07  2.65672025e-01  2.80800290e-01 
 2.65672140e-01  1.02338230e-05  2.65672140e-01  4.85965597e-07  2.65672140e-01  2.80794389e-01 
 2.65667966e-01  1.02338234e-05  2.65667966e-01  6.87243638e-07  2.65667966e-01  2.80784548e-01 
 2.65667205e-01  1.02338237e-05  2.65667205e-01  7.23802732e-07  2.65667205e-01  2.80777912e-01 
 2.65664752e-01  1.02338241e-05  2.65664752e-01  8.41297311e-07  2.65664752e-01  2.80769845e-01 
 2.65665677e-01  1.02338243e-05  2.65665677e-01  7.97041658e-07  2.65665677e-01  2.80764717e-01 
 2.65661100e-01  1.02338247e-05  2.65661100e-01  1.01527997e-06  2.65661100e-01  2.80754992e-01 
 2.65659893e-01  1.02338251e-05  2.65659893e-01  1.07252439e-06  2.65659893e-01  2.80748185e-01 
 2.65657025e-01  1.02338254e-05  2.65657025e-01  1.20803496e-06  2.65657025e-01  2.80740116e-01 
 2.65657476e-01  1.02338257e-05  2.65657476e-01  1.18679009e-06  2.65657476e-01  2.80734757e-01 
 2.65653771e-01  1.02338260e-05  2.65653771e-01  1.36100696e-06  2.65653771e-01  2.80726197e-01 
 2.65653372e-01  1.02338263e-05  2.65653372e-01  1.37970433e-06  2.65653372e-01  2.80720229e-01 
 2.65651324e-01  1.02338266e-05  2.65651324e-01  1.47539869e-06  2.65651324e-01  2.80713093e-01 
 2.65652596e-01  1.02338269e-05  2.65652596e-01  1.41601296e-06  2.65652596e-01  2.80707955e-01 
 2.65647854e-01  1.02338273e-05  2.65647854e-01  1.63680025e-06  2.65647854e-01  2.80699041e-01 
 2.65646403e-01  1.02338276e-05  2.65646403e-01  1.70398007e-06  2.65646403e-01  2.80692501e-01 
 2.65643336e-01  1.02338279e-05  2.65643336e-01  1.84533684e-06  2.65643336e-01  2.80684969e-01 
 2.65643498e-01  1.02338282e-05  2.65643498e-01  1.83786434e-06  2.65643498e-01  2.80679626e-01 
 2.65639621e-01  1.02338285e-05  2.65639621e-01  2.01544667e-06  2.65639621e-01  2.80671744e-01 
 2.65638956e-01  1.02338288e-05  2.65638956e-01  2.04574399e-06  2.65638956e-01  2.80665937e-01 
 2.65636693e-01  1.02338291e-05  2.65636693e-01  2.14865415e-06  2.65636693e-01  2.80659228e-01 
 2.65637622e-01  1.02338294e-05  2.65637622e-01  2.10649850e-06  2.65637622e-01  2.80654382e-01 
 2.65633345e-01  1.02338297e-05  2.65633345e-01  2.30008672e-06  2.65633345e-01  2.80646649e-01 
 2.65632253e-01  1.02338299e-05  2.65632253e-01  2.34920835e-06  2.65632253e-01  2.80640770e-01 
 2.65629586e-01  1.02338303e-05  2.65629586e-01  2.46886107e-06  2.65629586e-01  2.80634119e-01 
 2.65630065e-01  1.02338305e-05  2.65630065e-01  2.44745179e-06  2.65630065e-01  2.80629168e-01 
 2.65626596e-01  1.02338308e-05  2.65626596e-01  2.60224830e-06  2.65626596e-01  2.80622246e-01 
 2.65626267e-01  1.02338311e-05  2.65626267e-01  2.61688462e-06  2.65626267e-01  2.80616927e-01 
 2.65624368e-01  1.02338313e-05  2.65624368e-01  2.70109894e-06  2.65624368e-01  2.80610913e-01 
 2.65625738e-01  1.02338315e-05  2.65625738e-01  2.64035032e-06  2.65625738e-01  2.80606510e-01 
 2.65620974e-01  1.02338319e-05  2.65620974e-01  2.85080955e-06  2.65620974e-01  2.80599328e-01 
 2.65619345e-01  1.02338321e-05  2.65619345e-01  2.92227993e-06  2.65619345e-01  2.80593581e-01 
 2.65616180e-01  1.02338324e-05  2.65616180e-01  3.06051846e-06  2.65616180e-01  2.80587291e-01 
 2.65616086e-01  1.02338326e-05  2.65616086e-01  3.06460077e-06  2.65616086e-01  2.80582300e-01 
 2.65612151e-01  1.02338329e-05  2.65612151e-01  3.23511995e-06  2.65612151e-01  2.80575871e-01 
 2.65611269e-01  1.02338331e-05  2.65611269e-01  3.27312958e-06  2.65611269e-01  2.80570644e-01 
 2.65608868e-01  1.02338334e-05  2.65608868e-01  3.37624273e-06  2.65608868e-01  2.80564944e-01 
 2.65609494e-01  1.02338336e-05  2.65609494e-01  3.34939925e-06  2.65609494e-01  2.80560264e-01 
