 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.65605184e-01  1.02338339e-05  2.65605184e-01  3.53345997e-06  2.65605184e-01  2.80554066e-01 
 2.65603894e-01  1.02338341e-05  2.65603894e-01  3.58821503e-06  2.65603894e-01  2.80548888e-01 
 2.65601111e-01  1.02338343e-05  2.65601111e-01  3.70580448e-06  2.65601111e-01  2.80543342e-01 
 2.65601304e-01  1.02338346e-05  2.65601304e-01  3.69767434e-06  2.65601304e-01  2.80538699e-01 
 2.65597763e-01  1.02338349e-05  2.65597763e-01  3.84630288e-06  2.65597763e-01  2.80533080e-01 
 2.65597189e-01  1.02338351e-05  2.65597189e-01  3.87027027e-06  2.65597189e-01  2.80528278e-01 
 2.65595133e-01  1.02338354e-05  2.65595133e-01  3.95595760e-06  2.65595133e-01  2.80523173e-01 
 2.65596063e-01  1.02338356e-05  2.65596063e-01  3.91721868e-06  2.65596063e-01  2.80518336e-01 
 2.65591579e-01  1.02338358e-05  2.65591579e-01  4.10300879e-06  2.65591579e-01  2.80512822e-01 
 2.65590049e-01  1.02338359e-05  2.65590049e-01  4.16593105e-06  2.65590049e-01  2.80507973e-01 
 2.65587065e-01  1.02338363e-05  2.65587065e-01  4.28810690e-06  2.65587065e-01  2.80502935e-01 
 2.65586981e-01  1.02338364e-05  2.65586981e-01  4.29148766e-06  2.65586981e-01  2.80498462e-01 
 2.65583262e-01  1.02338366e-05  2.65583262e-01  4.44252224e-06  2.65583262e-01  2.80493443e-01 
 2.65582431e-01  1.02338369e-05  2.65582431e-01  4.47609439e-06  2.65582431e-01  2.80488910e-01 
 2.65580158e-01  1.02338372e-05  2.65580158e-01  4.56754118e-06  2.65580158e-01  2.80484242e-01 
 2.65580754e-01  1.02338373e-05  2.65580754e-01  4.54357019e-06  2.65580754e-01  2.80479906e-01 
 2.65576663e-01  1.02338376e-05  2.65576663e-01  4.70714118e-06  2.65576663e-01  2.80475155e-01 
 2.65575437e-01  1.02338378e-05  2.65575437e-01  4.75585122e-06  2.65575437e-01  2.80470739e-01 
 2.65572788e-01  1.02338379e-05  2.65572788e-01  4.86055025e-06  2.65572788e-01  2.80466277e-01 
 2.65572969e-01  1.02338381e-05  2.65572969e-01  4.85343934e-06  2.65572969e-01  2.80462060e-01 
 2.65569593e-01  1.02338384e-05  2.65569593e-01  4.98596523e-06  2.65569593e-01  2.80457673e-01 
 2.65569041e-01  1.02338385e-05  2.65569041e-01  5.00752001e-06  2.65569041e-01  2.80453458e-01 
 2.65567073e-01  1.02338387e-05  2.65567073e-01  5.08415058e-06  2.65567073e-01  2.80449250e-01 
 2.65567906e-01  1.02338394e-05  2.65567906e-01  5.05177525e-06  2.65567906e-01  2.80435285e-01 
 2.65563222e-01  1.02338396e-05  2.65563222e-01  5.23300993e-06  2.65563222e-01  2.80431169e-01 
 2.65561357e-01  1.02338398e-05  2.65561357e-01  5.30456366e-06  2.65561357e-01  2.80427102e-01 
 2.65558111e-01  1.02338399e-05  2.65558111e-01  5.42831942e-06  2.65558111e-01  2.80423146e-01 
 2.65557619e-01  1.02338401e-05  2.65557619e-01  5.44696361e-06  2.65557619e-01  2.80419173e-01 
 2.65553680e-01  1.02338403e-05  2.65553680e-01  5.59551575e-06  2.65553680e-01  2.80415385e-01 
 2.65552476e-01  1.02338405e-05  2.65552476e-01  5.64059752e-06  2.65552476e-01  2.80411511e-01 
 2.65549910e-01  1.02338406e-05  2.65549910e-01  5.73621119e-06  2.65549910e-01  2.80407791e-01 
 2.65550048e-01  1.02338408e-05  2.65550048e-01  5.73110515e-06  2.65550048e-01  2.80403855e-01 
 2.65545771e-01  1.02338410e-05  2.65545771e-01  5.88907437e-06  2.65545771e-01  2.80400403e-01 
 2.65544190e-01  1.02338411e-05  2.65544190e-01  5.94699903e-06  2.65544190e-01  2.80396746e-01 
 2.65541276e-01  1.02338413e-05  2.65541276e-01  6.05312020e-06  2.65541276e-01  2.80393309e-01 
 2.65541010e-01  1.02338414e-05  2.65541010e-01  6.06276967e-06  2.65541010e-01  2.80389610e-01 
 2.65537417e-01  1.02338416e-05  2.65537417e-01  6.19233126e-06  2.65537417e-01  2.80386385e-01 
 2.65536461e-01  1.02338418e-05  2.65536461e-01  6.22658422e-06  2.65536461e-01  2.80382831e-01 
 2.65534184e-01  1.02338419e-05  2.65534184e-01  6.30780055e-06  2.65534184e-01  2.80379539e-01 
 2.65534559e-01  1.02338421e-05  2.65534559e-01  6.29445546e-06  2.65534559e-01  2.80375383e-01 
 2.65530125e-01  1.02338423e-05  2.65530125e-01  6.45126494e-06  2.65530125e-01  2.80372581e-01 
 2.65528307e-01  1.02338424e-05  2.65528307e-01  6.51499414e-06  2.65528307e-01  2.80369347e-01 
 2.65525199e-01  1.02338425e-05  2.65525199e-01  6.62310528e-06  2.65525199e-01  2.80366447e-01 
 2.65524651e-01  1.02338426e-05  2.65524651e-01  6.64207552e-06  2.65524651e-01  2.80363075e-01 
 2.65520892e-01  1.02338428e-05  2.65520892e-01  6.77135242e-06  2.65520892e-01  2.80360442e-01 
 2.65519676e-01  1.02338429e-05  2.65519676e-01  6.81287017e-06  2.65519676e-01  2.80357278e-01 
 2.65517188e-01  1.02338430e-05  2.65517188e-01  6.89733029e-06  2.65517188e-01  2.80354480e-01 
 2.65517216e-01  1.02338432e-05  2.65517216e-01  6.89638042e-06  2.65517216e-01  2.80351042e-01 
 2.65513126e-01  1.02338432e-05  2.65513126e-01  7.03385617e-06  2.65513126e-01  2.80348770e-01 
 2.65511546e-01  1.02338434e-05  2.65511546e-01  7.08652732e-06  2.65511546e-01  2.80345873e-01 
 2.65508718e-01  1.02338435e-05  2.65508718e-01  7.18011266e-06  2.65508718e-01  2.80343395e-01 
 2.65508356e-01  1.02338437e-05  2.65508356e-01  7.19203245e-06  2.65508356e-01  2.80340251e-01 
 2.65504888e-01  1.02338438e-05  2.65504888e-01  7.30558666e-06  2.65504888e-01  2.80338078e-01 
 2.65503876e-01  1.02338439e-05  2.65503876e-01  7.33846619e-06  2.65503876e-01  2.80335182e-01 
 2.65501627e-01  1.02338440e-05  2.65501627e-01  7.41117835e-06  2.65501627e-01  2.80332740e-01 
 2.65501986e-01  1.02338441e-05  2.65501986e-01  7.39962911e-06  2.65501986e-01  2.80329403e-01 
 2.65497486e-01  1.02338443e-05  2.65497486e-01  7.54375513e-06  2.65497486e-01  2.80327830e-01 
 2.65495428e-01  1.02338444e-05  2.65495428e-01  7.60900222e-06  2.65495428e-01  2.80325454e-01 
 2.65492169e-01  1.02338444e-05  2.65492169e-01  7.71139214e-06  2.65492169e-01  2.80323587e-01 
 2.65491288e-01  1.02338446e-05  2.65491288e-01  7.73891315e-06  2.65491288e-01  2.80320905e-01 
 2.65487422e-01  1.02338447e-05  2.65487422e-01  7.85859092e-06  2.65487422e-01  2.80319392e-01 
 2.65485914e-01  1.02338448e-05  2.65485914e-01  7.90487449e-06  2.65485914e-01  2.80317014e-01 
 2.65483227e-01  1.02338449e-05  2.65483227e-01  7.98677118e-06  2.65483227e-01  2.80315168e-01 
 2.65482860e-01  1.02338450e-05  2.65482860e-01  7.99789560e-06  2.65482860e-01  2.80312370e-01 
 2.65478691e-01  1.02338450e-05  2.65478691e-01  8.12332794e-06  2.65478691e-01  2.80311251e-01 
 2.65476833e-01  1.02338451e-05  2.65476833e-01  8.17863512e-06  2.65476833e-01  2.80309200e-01 
 2.65473828e-01  1.02338452e-05  2.65473828e-01  8.26737575e-06  2.65473828e-01  2.80307717e-01 
 2.65473082e-01  1.02338453e-05  2.65473082e-01  8.28926842e-06  2.65473082e-01  2.80305290e-01 
 2.65469486e-01  1.02338454e-05  2.65469486e-01  8.39396857e-06  2.65469486e-01  2.80304187e-01 
 2.65468135e-01  1.02338455e-05  2.65468135e-01  8.43293947e-06  2.65468135e-01  2.80302092e-01 
 2.65465652e-01  1.02338455e-05  2.65465652e-01  8.50413101e-06  2.65465652e-01  2.80300587e-01 
 2.65465433e-01  1.02338456e-05  2.65465433e-01  8.51036923e-06  2.65465433e-01  2.80297569e-01 
 2.65461102e-01  1.02338456e-05  2.65461102e-01  8.63288827e-06  2.65461102e-01  2.80297070e-01 
 2.65458989e-01  1.02338458e-05  2.65458989e-01  8.69201485e-06  2.65458989e-01  2.80295521e-01 
 2.65455780e-01  1.02338458e-05  2.65455780e-01  8.78091004e-06  2.65455780e-01  2.80294597e-01 
 2.65454722e-01  1.02338459e-05  2.65454722e-01  8.80996127e-06  2.65454722e-01  2.80292630e-01 
 2.65450952e-01  1.02338459e-05  2.65450952e-01  8.91264379e-06  2.65450952e-01  2.80292114e-01 
 2.65449315e-01  1.02338459e-05  2.65449315e-01  8.95677432e-06  2.65449315e-01  2.80290512e-01 
 2.65446603e-01  1.02338459e-05  2.65446603e-01  9.02929857e-06  2.65446603e-01  2.80289551e-01 
 2.65445988e-01  1.02338461e-05  2.65445988e-01  9.04564175e-06  2.65445988e-01  2.80287440e-01 
 2.65441922e-01  1.02338461e-05  2.65441922e-01  9.15272963e-06  2.65441922e-01  2.80287336e-01 
 2.65439944e-01  1.02338462e-05  2.65439944e-01  9.20424546e-06  2.65439944e-01  2.80286104e-01 
 2.65436921e-01  1.02338462e-05  2.65436921e-01  9.28217198e-06  2.65436921e-01  2.80285534e-01 
 2.65435930e-01  1.02338463e-05  2.65435930e-01  9.30751415e-06  2.65435930e-01  2.80283845e-01 
 2.65432362e-01  1.02338463e-05  2.65432362e-01  9.39798074e-06  2.65432362e-01  2.80283704e-01 
 2.65430812e-01  1.02338464e-05  2.65430812e-01  9.43687970e-06  2.65430812e-01  2.80282403e-01 
 2.65428234e-01  1.02338464e-05  2.65428234e-01  9.50105570e-06  2.65428234e-01  2.80281779e-01 
