 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.66008361e-01  1.11322612e-05  2.66008361e-01  6.22329850e-08  2.66008361e-01  2.82493222e-01 
 2.66009652e-01  1.11322608e-05  2.66009652e-01  1.45854884e-09  2.66009652e-01  2.82499895e-01 
 2.66007964e-01  1.11322606e-05  2.66007964e-01  8.23252364e-08  2.66007964e-01  2.82503606e-01 
 2.66007769e-01  1.11322604e-05  2.66007769e-01  9.21902661e-08  2.66007769e-01  2.82508814e-01 
 2.66004581e-01  1.11322602e-05  2.66004581e-01  2.54297564e-07  2.66004581e-01  2.82511212e-01 
 2.66005158e-01  1.11322600e-05  2.66005158e-01  2.25005977e-07  2.66005158e-01  2.82517204e-01 
 2.66002712e-01  1.11322598e-05  2.66002712e-01  3.49081397e-07  2.66002712e-01  2.82520471e-01 
 2.66001785e-01  1.11322596e-05  2.66001785e-01  3.96011341e-07  2.66001785e-01  2.82525162e-01 
 2.65997738e-01  1.11322595e-05  2.65997738e-01  5.99905860e-07  2.65997738e-01  2.82527184e-01 
 2.65998765e-01  1.11322592e-05  2.65998765e-01  5.48316425e-07  2.65998765e-01  2.82533646e-01 
 2.65996674e-01  1.11322589e-05  2.65996674e-01  6.53253199e-07  2.65996674e-01  2.82537524e-01 
 2.65996149e-01  1.11322587e-05  2.65996149e-01  6.79541667e-07  2.65996149e-01  2.82542731e-01 
 2.65992462e-01  1.11322586e-05  2.65992462e-01  8.63433080e-07  2.65992462e-01  2.82545482e-01 
 2.65992748e-01  1.11322583e-05  2.65992748e-01  8.49220715e-07  2.65992748e-01  2.82551408e-01 
 2.65989826e-01  1.11322581e-05  2.65989826e-01  9.94096148e-07  2.65989826e-01  2.82554953e-01 
 2.65988511e-01  1.11322578e-05  2.65988511e-01  1.05905675e-06  2.65988511e-01  2.82559765e-01 
 2.65983920e-01  1.11322577e-05  2.65983920e-01  1.28459659e-06  2.65983920e-01  2.82561784e-01 
 2.65985308e-01  1.11322574e-05  2.65985308e-01  1.21663851e-06  2.65985308e-01  2.82568615e-01 
 2.65983365e-01  1.11322573e-05  2.65983365e-01  1.31179123e-06  2.65983365e-01  2.82573171e-01 
 2.65983091e-01  1.11322569e-05  2.65983091e-01  1.32515052e-06  2.65983091e-01  2.82578882e-01 
 2.65979457e-01  1.11322567e-05  2.65979457e-01  1.50202029e-06  2.65979457e-01  2.82582463e-01 
 2.65980047e-01  1.11322565e-05  2.65980047e-01  1.47343971e-06  2.65980047e-01  2.82588790e-01 
 2.65977239e-01  1.11322563e-05  2.65977239e-01  1.60947831e-06  2.65977239e-01  2.82593072e-01 
 2.65976133e-01  1.11322559e-05  2.65976133e-01  1.66280099e-06  2.65976133e-01  2.82598439e-01 
 2.65971510e-01  1.11322558e-05  2.65971510e-01  1.88476531e-06  2.65971510e-01  2.82601827e-01 
 2.65972603e-01  1.11322554e-05  2.65972603e-01  1.83244178e-06  2.65972603e-01  2.82608538e-01 
 2.65970176e-01  1.11322551e-05  2.65970176e-01  1.94844311e-06  2.65970176e-01  2.82613354e-01 
 2.65969516e-01  1.11322549e-05  2.65969516e-01  1.97990474e-06  2.65969516e-01  2.82619156e-01 
 2.65965272e-01  1.11322547e-05  2.65965272e-01  2.18122077e-06  2.65965272e-01  2.82623187e-01 
 2.65965526e-01  1.11322544e-05  2.65965526e-01  2.16921817e-06  2.65965526e-01  2.82629541e-01 
 2.65962137e-01  1.11322541e-05  2.65962137e-01  2.32884519e-06  2.65962137e-01  2.82634203e-01 
 2.65960569e-01  1.11322539e-05  2.65960569e-01  2.40239271e-06  2.65960569e-01  2.82639790e-01 
 2.65955204e-01  1.11322536e-05  2.65955204e-01  2.65221830e-06  2.65955204e-01  2.82644329e-01 
 2.65957061e-01  1.11322533e-05  2.65957061e-01  2.56603020e-06  2.65957061e-01  2.82651527e-01 
 2.65955124e-01  1.11322530e-05  2.65955124e-01  2.65593192e-06  2.65955124e-01  2.82657141e-01 
 2.65955085e-01  1.11322527e-05  2.65955085e-01  2.65771712e-06  2.65955085e-01  2.82663549e-01 
 2.65951233e-01  1.11322525e-05  2.65951233e-01  2.83546498e-06  2.65951233e-01  2.82668535e-01 
 2.65952171e-01  1.11322521e-05  2.65952171e-01  2.79229844e-06  2.65952171e-01  2.82675358e-01 
 2.65949261e-01  1.11322518e-05  2.65949261e-01  2.92592548e-06  2.65949261e-01  2.82680859e-01 
 2.65948280e-01  1.11322515e-05  2.65948280e-01  2.97076852e-06  2.65948280e-01  2.82687073e-01 
 2.65943329e-01  1.11322513e-05  2.65943329e-01  3.19589885e-06  2.65943329e-01  2.82692068e-01 
 2.65944833e-01  1.11322510e-05  2.65944833e-01  3.12777359e-06  2.65944833e-01  2.82699141e-01 
 2.65942364e-01  1.11322506e-05  2.65942364e-01  3.23951770e-06  2.65942364e-01  2.82705069e-01 
 2.65941886e-01  1.11322503e-05  2.65941886e-01  3.26103802e-06  2.65941886e-01  2.82711594e-01 
 2.65937378e-01  1.11322500e-05  2.65937378e-01  3.46343554e-06  2.65937378e-01  2.82717120e-01 
 2.65937931e-01  1.11322497e-05  2.65937931e-01  3.43873759e-06  2.65937931e-01  2.82723986e-01 
 2.65934393e-01  1.11322494e-05  2.65934393e-01  3.59640540e-06  2.65934393e-01  2.82729947e-01 
 2.65932900e-01  1.11322490e-05  2.65932900e-01  3.66257444e-06  2.65932900e-01  2.82736431e-01 
 2.65927223e-01  1.11322488e-05  2.65927223e-01  3.91232132e-06  2.65927223e-01  2.82741571e-01 
 2.65929176e-01  1.11322485e-05  2.65929176e-01  3.82677544e-06  2.65929176e-01  2.82748834e-01 
 2.65926874e-01  1.11322482e-05  2.65926874e-01  3.92760836e-06  2.65926874e-01  2.82755341e-01 
 2.65926702e-01  1.11322478e-05  2.65926702e-01  3.93510650e-06  2.65926702e-01  2.82762234e-01 
 2.65922235e-01  1.11322474e-05  2.65922235e-01  4.12923866e-06  2.65922235e-01  2.82768533e-01 
 2.65923162e-01  1.11322471e-05  2.65923162e-01  4.08911160e-06  2.65923162e-01  2.82775643e-01 
 2.65919744e-01  1.11322468e-05  2.65919744e-01  4.23667908e-06  2.65919744e-01  2.82782265e-01 
 2.65918502e-01  1.11322464e-05  2.65918502e-01  4.29003428e-06  2.65918502e-01  2.82789188e-01 
 2.65912753e-01  1.11322461e-05  2.65912753e-01  4.53498898e-06  2.65912753e-01  2.82795740e-01 
 2.65914323e-01  1.11322458e-05  2.65914323e-01  4.46842234e-06  2.65914323e-01  2.82803007e-01 
 2.65911378e-01  1.11322454e-05  2.65911378e-01  4.59310709e-06  2.65911378e-01  2.82809977e-01 
 2.65910697e-01  1.11322452e-05  2.65910697e-01  4.62184472e-06  2.65910697e-01  2.82817128e-01 
 2.65905411e-01  1.11322446e-05  2.65905411e-01  4.84317653e-06  2.65905411e-01  2.82824133e-01 
 2.65905900e-01  1.11322443e-05  2.65905900e-01  4.82281376e-06  2.65905900e-01  2.82831419e-01 
 2.65901705e-01  1.11322440e-05  2.65901705e-01  4.99674462e-06  2.65901705e-01  2.82838669e-01 
 2.65899845e-01  1.11322436e-05  2.65899845e-01  5.07326316e-06  2.65899845e-01  2.82846015e-01 
 2.65893032e-01  1.11322429e-05  2.65893032e-01  5.35073996e-06  2.65893032e-01  2.82860278e-01 
 2.65895815e-01  1.11322425e-05  2.65895815e-01  5.23796393e-06  2.65895815e-01  2.82867692e-01 
 2.65893702e-01  1.11322421e-05  2.65893702e-01  5.32363536e-06  2.65893702e-01  2.82875224e-01 
 2.65894033e-01  1.11322417e-05  2.65894033e-01  5.31022974e-06  2.65894033e-01  2.82882680e-01 
 2.65889457e-01  1.11322413e-05  2.65889457e-01  5.49445451e-06  2.65889457e-01  2.82890442e-01 
 2.65891043e-01  1.11322410e-05  2.65891043e-01  5.43087275e-06  2.65891043e-01  2.82897855e-01 
 2.65887681e-01  1.11322406e-05  2.65887681e-01  5.56536542e-06  2.65887681e-01  2.82905699e-01 
 2.65886799e-01  1.11322402e-05  2.65886799e-01  5.60047880e-06  2.65886799e-01  2.82913365e-01 
 2.65880821e-01  1.11322399e-05  2.65880821e-01  5.83631632e-06  2.65880821e-01  2.82921636e-01 
 2.65883129e-01  1.11322394e-05  2.65883129e-01  5.74569301e-06  2.65883129e-01  2.82929015e-01 
 2.65880338e-01  1.11322390e-05  2.65880338e-01  5.85523386e-06  2.65880338e-01  2.82937063e-01 
 2.65880100e-01  1.11322387e-05  2.65880100e-01  5.86453251e-06  2.65880100e-01  2.82944786e-01 
 2.65874695e-01  1.11322384e-05  2.65874695e-01  6.07424701e-06  2.65874695e-01  2.82953359e-01 
 2.65875776e-01  1.11322379e-05  2.65875776e-01  6.03251290e-06  2.65875776e-01  2.82960938e-01 
 2.65871618e-01  1.11322374e-05  2.65871618e-01  6.19224344e-06  2.65871618e-01  2.82969493e-01 
 2.65870080e-01  1.11322370e-05  2.65870080e-01  6.25087521e-06  2.65870080e-01  2.82977624e-01 
 2.65863166e-01  1.11322367e-05  2.65863166e-01  6.51144915e-06  2.65863166e-01  2.82986302e-01 
 2.65866045e-01  1.11322363e-05  2.65866045e-01  6.40354069e-06  2.65866045e-01  2.82993623e-01 
 2.65863471e-01  1.11322359e-05  2.65863471e-01  6.50002828e-06  2.65863471e-01  2.83002136e-01 
 2.65863623e-01  1.11322354e-05  2.65863623e-01  6.49433676e-06  2.65863623e-01  2.83010045e-01 
