 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.70143354e-01  1.02949372e-05  2.70143354e-01  1.30638036e-07  2.70143354e-01  2.85453883e-01 
 2.70134638e-01  1.02949382e-05  2.70134638e-01  5.62428600e-07  2.70134638e-01  2.85432648e-01 
 2.70133014e-01  1.02949389e-05  2.70133014e-01  6.42308009e-07  2.70133014e-01  2.85418659e-01 
 2.70127887e-01  1.02949397e-05  2.70127887e-01  8.92863742e-07  2.70127887e-01  2.85401430e-01 
 2.70129789e-01  1.02949401e-05  2.70129789e-01  8.00154993e-07  2.70129789e-01  2.85391013e-01 
 2.70122899e-01  1.02949410e-05  2.70122899e-01  1.13449336e-06  2.70122899e-01  2.85372421e-01 
 2.70123014e-01  1.02949416e-05  2.70123014e-01  1.12896208e-06  2.70123014e-01  2.85360359e-01 
 2.70119639e-01  1.02949423e-05  2.70119639e-01  1.29128898e-06  2.70119639e-01  2.85345264e-01 
 2.70123290e-01  1.02949428e-05  2.70123290e-01  1.11564637e-06  2.70123290e-01  2.85336249e-01 
 2.70115518e-01  1.02949436e-05  2.70115518e-01  1.48816724e-06  2.70115518e-01  2.85317586e-01 
 2.70114742e-01  1.02949441e-05  2.70114742e-01  1.52506888e-06  2.70114742e-01  2.85304937e-01 
 2.70110491e-01  1.02949449e-05  2.70110491e-01  1.72636210e-06  2.70110491e-01  2.85289558e-01 
 2.70113215e-01  1.02949452e-05  2.70113215e-01  1.59755570e-06  2.70113215e-01  2.85279831e-01 
 2.70107200e-01  1.02949460e-05  2.70107200e-01  1.88107637e-06  2.70107200e-01  2.85263269e-01 
 2.70108155e-01  1.02949466e-05  2.70108155e-01  1.83630565e-06  2.70108155e-01  2.85252135e-01 
 2.70105629e-01  1.02949471e-05  2.70105629e-01  1.95464359e-06  2.70105629e-01  2.85238449e-01 
 2.70110107e-01  1.02949476e-05  2.70110107e-01  1.74447718e-06  2.70110107e-01  2.85230030e-01 
 2.70101870e-01  1.02949484e-05  2.70101870e-01  2.12969757e-06  2.70101870e-01  2.85212425e-01 
 2.70100626e-01  1.02949490e-05  2.70100626e-01  2.18734429e-06  2.70100626e-01  2.85199824e-01 
 2.70095912e-01  1.02949497e-05  2.70095912e-01  2.40458301e-06  2.70095912e-01  2.85185000e-01 
