 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.67810985e-01  1.00586945e-05  2.67810985e-01  4.06479600e-06  2.67810985e-01  2.82884302e-01 
 2.67810549e-01  1.00586944e-05  2.67810549e-01  4.08237366e-06  2.67810549e-01  2.82886966e-01 
 2.67808316e-01  1.00586943e-05  2.67808316e-01  4.17232235e-06  2.67808316e-01  2.82889533e-01 
 2.67806989e-01  1.00586941e-05  2.67806989e-01  4.22553254e-06  2.67806989e-01  2.82892206e-01 
 2.67803796e-01  1.00586940e-05  2.67803796e-01  4.35295216e-06  2.67803796e-01  2.82894841e-01 
 2.67802943e-01  1.00586939e-05  2.67802943e-01  4.38686269e-06  2.67802943e-01  2.82897633e-01 
 2.67800167e-01  1.00586937e-05  2.67800167e-01  4.49662904e-06  2.67800167e-01  2.82900427e-01 
 2.67798346e-01  1.00586936e-05  2.67798346e-01  4.56827338e-06  2.67798346e-01  2.82903295e-01 
 2.67794340e-01  1.00586938e-05  2.67794340e-01  4.72476103e-06  2.67794340e-01  2.82898688e-01 
 2.67794442e-01  1.00586936e-05  2.67794442e-01  4.72075986e-06  2.67794442e-01  2.82901654e-01 
 2.67792504e-01  1.00586935e-05  2.67792504e-01  4.79597569e-06  2.67792504e-01  2.82904693e-01 
 2.67791598e-01  1.00586935e-05  2.67791598e-01  4.83099999e-06  2.67791598e-01  2.82907734e-01 
 2.67788608e-01  1.00586933e-05  2.67788608e-01  4.94606910e-06  2.67788608e-01  2.82910920e-01 
 2.67788244e-01  1.00586931e-05  2.67788244e-01  4.95997847e-06  2.67788244e-01  2.82914005e-01 
 2.67785756e-01  1.00586930e-05  2.67785756e-01  5.05499445e-06  2.67785756e-01  2.82917287e-01 
 2.67784336e-01  1.00586928e-05  2.67784336e-01  5.10896913e-06  2.67784336e-01  2.82920527e-01 
 2.67780690e-01  1.00586926e-05  2.67780690e-01  5.24661817e-06  2.67780690e-01  2.82923920e-01 
