 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.68924572e-01  1.06404222e-05  2.68924572e-01  2.60798490e-07  2.68924572e-01  2.84730282e-01 
 2.68921695e-01  1.06404225e-05  2.68921695e-01  4.04447533e-07  2.68921695e-01  2.84725236e-01 
 2.68920049e-01  1.06404227e-05  2.68920049e-01  4.86435489e-07  2.68920049e-01  2.84721542e-01 
 2.68917808e-01  1.06404229e-05  2.68917808e-01  5.97637342e-07  2.68917808e-01  2.84717316e-01 
 2.68916722e-01  1.06404231e-05  2.68916722e-01  6.51426390e-07  2.68916722e-01  2.84714276e-01 
 2.68914214e-01  1.06404232e-05  2.68914214e-01  7.75258783e-07  2.68914214e-01  2.84709963e-01 
 2.68912834e-01  1.06404233e-05  2.68912834e-01  8.43180473e-07  2.68912834e-01  2.84706792e-01 
 2.68910893e-01  1.06404236e-05  2.68910893e-01  9.38457617e-07  2.68910893e-01  2.84703156e-01 
 2.68910052e-01  1.06404238e-05  2.68910052e-01  9.79711391e-07  2.68910052e-01  2.84700549e-01 
 2.68907447e-01  1.06404238e-05  2.68907447e-01  1.10689444e-06  2.68907447e-01  2.84696486e-01 
 2.68905909e-01  1.06404240e-05  2.68905909e-01  1.18172991e-06  2.68905909e-01  2.84693429e-01 
 2.68903849e-01  1.06404241e-05  2.68903849e-01  1.28168902e-06  2.68903849e-01  2.84689983e-01 
 2.68902792e-01  1.06404242e-05  2.68902792e-01  1.33284388e-06  2.68902792e-01  2.84687413e-01 
 2.68900489e-01  1.06404246e-05  2.68900489e-01  1.44401233e-06  2.68900489e-01  2.84683921e-01 
 2.68899165e-01  1.06404246e-05  2.68899165e-01  1.50763718e-06  2.68899165e-01  2.84681273e-01 
 2.68897347e-01  1.06404247e-05  2.68897347e-01  1.59483844e-06  2.68897347e-01  2.84678287e-01 
 2.68896480e-01  1.06404249e-05  2.68896480e-01  1.63634792e-06  2.68896480e-01  2.84675745e-01 
 2.68893902e-01  1.06404250e-05  2.68893902e-01  1.75931876e-06  2.68893902e-01  2.84672353e-01 
 2.68892260e-01  1.06404252e-05  2.68892260e-01  1.83736662e-06  2.68892260e-01  2.84669714e-01 
 2.68890163e-01  1.06404252e-05  2.68890163e-01  1.93663131e-06  2.68890163e-01  2.84666807e-01 
 2.68888936e-01  1.06404253e-05  2.68888936e-01  1.99457534e-06  2.68888936e-01  2.84664545e-01 
 2.68886636e-01  1.06404256e-05  2.68886636e-01  2.10284850e-06  2.68886636e-01  2.84661649e-01 
 2.68885180e-01  1.06404256e-05  2.68885180e-01  2.17110617e-06  2.68885180e-01  2.84659371e-01 
 2.68883300e-01  1.06404257e-05  2.68883300e-01  2.25899064e-06  2.68883300e-01  2.84656870e-01 
 2.68882240e-01  1.06404259e-05  2.68882240e-01  2.30845416e-06  2.68882240e-01  2.84654907e-01 
 2.68879863e-01  1.06404259e-05  2.68879863e-01  2.41884481e-06  2.68879863e-01  2.84652248e-01 
 2.68878274e-01  1.06404261e-05  2.68878274e-01  2.49241451e-06  2.68878274e-01  2.84650123e-01 
 2.68876297e-01  1.06404262e-05  2.68876297e-01  2.58362898e-06  2.68876297e-01  2.84647824e-01 
 2.68875047e-01  1.06404263e-05  2.68875047e-01  2.64111513e-06  2.68875047e-01  2.84645972e-01 
 2.68872888e-01  1.06404263e-05  2.68872888e-01  2.74004690e-06  2.68872888e-01  2.84643708e-01 
 2.68871436e-01  1.06404265e-05  2.68871436e-01  2.80641013e-06  2.68871436e-01  2.84641877e-01 
 2.68869621e-01  1.06404266e-05  2.68869621e-01  2.88901911e-06  2.68869621e-01  2.84639906e-01 
 2.68868555e-01  1.06404265e-05  2.68868555e-01  2.93740865e-06  2.68868555e-01  2.84640484e-01 
 2.68866137e-01  1.06404266e-05  2.68866137e-01  3.04679711e-06  2.68866137e-01  2.84638362e-01 
 2.68864381e-01  1.06404268e-05  2.68864381e-01  3.12590129e-06  2.68864381e-01  2.84636618e-01 
 2.68862309e-01  1.06404269e-05  2.68862309e-01  3.21889047e-06  2.68862309e-01  2.84634781e-01 
 2.68860830e-01  1.06404269e-05  2.68860830e-01  3.28494880e-06  2.68860830e-01  2.84633249e-01 
 2.68858624e-01  1.06404269e-05  2.68858624e-01  3.38320785e-06  2.68858624e-01  2.84631489e-01 
 2.68856987e-01  1.06404270e-05  2.68856987e-01  3.45579489e-06  2.68856987e-01  2.84630025e-01 
 2.68855065e-01  1.06404271e-05  2.68855065e-01  3.54074817e-06  2.68855065e-01  2.84628494e-01 
 2.68853682e-01  1.06404271e-05  2.68853682e-01  3.60164540e-06  2.68853682e-01  2.84627191e-01 
 2.68851442e-01  1.06404273e-05  2.68851442e-01  3.69992702e-06  2.68851442e-01  2.84625677e-01 
 2.68849705e-01  1.06404273e-05  2.68849705e-01  3.77574622e-06  2.68849705e-01  2.84624405e-01 
