 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.62061551e-01  1.04652950e-05  2.62061551e-01  3.57047725e-12  2.62061551e-01  2.77483233e-01 
 2.62064590e-01  1.04652946e-05  2.62064590e-01  3.53850282e-12  2.62064590e-01  2.77494504e-01 
 2.62062983e-01  1.04652942e-05  2.62062983e-01  3.54560825e-12  2.62062983e-01  2.77501100e-01 
 2.62063688e-01  1.04652938e-05  2.62063688e-01  3.54205554e-12  2.62063688e-01  2.77509991e-01 
 2.62059761e-01  1.04652936e-05  2.62059761e-01  3.61310981e-12  2.62059761e-01  2.77514497e-01 
 2.62061644e-01  1.04652932e-05  2.62061644e-01  3.55981911e-12  2.62061644e-01  2.77524497e-01 
 2.62058880e-01  1.04652929e-05  2.62058880e-01  3.66284780e-12  2.62058880e-01  2.77530260e-01 
 2.62058443e-01  1.04652925e-05  2.62058443e-01  3.69837494e-12  2.62058443e-01  2.77538184e-01 
 2.62053234e-01  1.04652923e-05  2.62053234e-01  4.38891554e-08  2.62053234e-01  2.77542049e-01 
 2.62055778e-01  1.04652919e-05  2.62055778e-01  4.63629135e-12  2.62055778e-01  2.77552578e-01 
 2.62053568e-01  1.04652915e-05  2.62053568e-01  2.80799810e-08  2.62053568e-01  2.77559128e-01 
 2.62053735e-01  1.04652911e-05  2.62053735e-01  2.03013713e-08  2.62053735e-01  2.77567669e-01 
 2.62049112e-01  1.04652909e-05  2.62049112e-01  2.42156460e-07  2.62049112e-01  2.77572464e-01 
 2.62050502e-01  1.04652904e-05  2.62050502e-01  1.75246594e-07  2.62050502e-01  2.77582008e-01 
 2.62047059e-01  1.04652902e-05  2.62047059e-01  3.40733010e-07  2.62047059e-01  2.77587932e-01 
 2.62046035e-01  1.04652899e-05  2.62046035e-01  3.89775884e-07  2.62046035e-01  2.77595739e-01 
 2.62040017e-01  1.04652896e-05  2.62040017e-01  6.76024111e-07  2.62040017e-01  2.77600520e-01 
 2.62043049e-01  1.04652891e-05  2.62043049e-01  5.32204748e-07  2.62043049e-01  2.77611270e-01 
 2.62041086e-01  1.04652888e-05  2.62041086e-01  6.25411680e-07  2.62041086e-01  2.77618577e-01 
 2.62041615e-01  1.04652884e-05  2.62041615e-01  6.00336335e-07  2.62041615e-01  2.77627582e-01 
 2.62037140e-01  1.04652881e-05  2.62037140e-01  8.11798710e-07  2.62037140e-01  2.77633402e-01 
 2.62038944e-01  1.04652876e-05  2.62038944e-01  7.26762600e-07  2.62038944e-01  2.77643237e-01 
 2.62035713e-01  1.04652873e-05  2.62035713e-01  8.78836357e-07  2.62035713e-01  2.77650025e-01 
 2.62035004e-01  1.04652869e-05  2.62035004e-01  9.12095370e-07  2.62035004e-01  2.77658390e-01 
 2.62029095e-01  1.04652867e-05  2.62029095e-01  1.18762031e-06  2.62029095e-01  2.77663868e-01 
 2.62031628e-01  1.04652861e-05  2.62031628e-01  1.06986779e-06  2.62031628e-01  2.77674123e-01 
 2.62028976e-01  1.04652857e-05  2.62028976e-01  1.19307937e-06  2.62028976e-01  2.77681568e-01 
 2.62028920e-01  1.04652853e-05  2.62028920e-01  1.19568709e-06  2.62028920e-01  2.77690436e-01 
 2.62023611e-01  1.04652850e-05  2.62023611e-01  1.44057630e-06  2.62023611e-01  2.77696704e-01 
 2.62024894e-01  1.04652846e-05  2.62024894e-01  1.38160175e-06  2.62024894e-01  2.77706303e-01 
