 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.67085619e-01  1.05454347e-05  2.67085619e-01  4.51534330e-06  2.67085619e-01  2.82706867e-01 
 2.67083611e-01  1.05454348e-05  2.67083611e-01  4.59721434e-06  2.67083611e-01  2.82706446e-01 
 2.67081749e-01  1.05454348e-05  2.67081749e-01  4.67278915e-06  2.67081749e-01  2.82706094e-01 
 2.67079821e-01  1.05454349e-05  2.67079821e-01  4.75069010e-06  2.67079821e-01  2.82705792e-01 
 2.67077978e-01  1.05454348e-05  2.67077978e-01  4.82478291e-06  2.67077978e-01  2.82705549e-01 
 2.67076023e-01  1.05454348e-05  2.67076023e-01  4.90305001e-06  2.67076023e-01  2.82705356e-01 
 2.67074124e-01  1.05454348e-05  2.67074124e-01  4.97873006e-06  2.67074124e-01  2.82705221e-01 
 2.67072189e-01  1.05454349e-05  2.67072189e-01  5.05550529e-06  2.67072189e-01  2.82705139e-01 
 2.67070268e-01  1.05454348e-05  2.67070268e-01  5.13131016e-06  2.67070268e-01  2.82705112e-01 
 2.67068320e-01  1.05454349e-05  2.67068320e-01  5.20786021e-06  2.67068320e-01  2.82705139e-01 
 2.67066363e-01  1.05454348e-05  2.67066363e-01  5.28434569e-06  2.67066363e-01  2.82705221e-01 
 2.67064430e-01  1.05454348e-05  2.67064430e-01  5.35955013e-06  2.67064430e-01  2.82705357e-01 
 2.67062426e-01  1.05454349e-05  2.67062426e-01  5.43712752e-06  2.67062426e-01  2.82705550e-01 
 2.67060525e-01  1.05454349e-05  2.67060525e-01  5.51038502e-06  2.67060525e-01  2.82705792e-01 
 2.67058520e-01  1.05454349e-05  2.67058520e-01  5.58721404e-06  2.67058520e-01  2.82706094e-01 
 2.67056570e-01  1.05454349e-05  2.67056570e-01  5.66155977e-06  2.67056570e-01  2.82706446e-01 
 2.67054452e-01  1.05454347e-05  2.67054452e-01  5.74188117e-06  2.67054452e-01  2.82706867e-01 
 2.67052606e-01  1.05454348e-05  2.67052606e-01  5.81154433e-06  2.67052606e-01  2.82707316e-01 
 2.67050575e-01  1.05454348e-05  2.67050575e-01  5.88778109e-06  2.67050575e-01  2.82707838e-01 
 2.67048647e-01  1.05454347e-05  2.67048647e-01  5.95975646e-06  2.67048647e-01  2.82708401e-01 
 2.67046469e-01  1.05454347e-05  2.67046469e-01  6.04062590e-06  2.67046469e-01  2.82709050e-01 
 2.67044605e-01  1.05454346e-05  2.67044605e-01  6.10944959e-06  2.67044605e-01  2.82709709e-01 
 2.67042457e-01  1.05454346e-05  2.67042457e-01  6.18834538e-06  2.67042457e-01  2.82710465e-01 
 2.67040446e-01  1.05454345e-05  2.67040446e-01  6.26178913e-06  2.67040446e-01  2.82711252e-01 
 2.67038079e-01  1.05454345e-05  2.67038079e-01  6.34771028e-06  2.67038079e-01  2.82712158e-01 
 2.67036345e-01  1.05454345e-05  2.67036345e-01  6.41031544e-06  2.67036345e-01  2.82713001e-01 
 2.67034244e-01  1.05454344e-05  2.67034244e-01  6.48572991e-06  2.67034244e-01  2.82713966e-01 
 2.67032341e-01  1.05454344e-05  2.67032341e-01  6.55366176e-06  2.67032341e-01  2.82714942e-01 
 2.67030004e-01  1.05454343e-05  2.67030004e-01  6.63657165e-06  2.67030004e-01  2.82716066e-01 
 2.67028217e-01  1.05454343e-05  2.67028217e-01  6.69960728e-06  2.67028217e-01  2.82717118e-01 
 2.67025960e-01  1.05454342e-05  2.67025960e-01  6.77874044e-06  2.67025960e-01  2.82718334e-01 
 2.67023937e-01  1.05454342e-05  2.67023937e-01  6.84926077e-06  2.67023937e-01  2.82719546e-01 
 2.67021366e-01  1.05454341e-05  2.67021366e-01  6.93823489e-06  2.67021366e-01  2.82720957e-01 
 2.67019674e-01  1.05454340e-05  2.67019674e-01  6.99643966e-06  2.67019674e-01  2.82722183e-01 
 2.67017415e-01  1.05454339e-05  2.67017415e-01  7.07367270e-06  2.67017415e-01  2.82723619e-01 
 2.67015446e-01  1.05454339e-05  2.67015446e-01  7.14057559e-06  2.67015446e-01  2.82725023e-01 
 2.67012835e-01  1.05454338e-05  2.67012835e-01  7.22869714e-06  2.67012835e-01  2.82726676e-01 
 2.67011021e-01  1.05454338e-05  2.67011021e-01  7.28949475e-06  2.67011021e-01  2.82728135e-01 
 2.67008523e-01  1.05454337e-05  2.67008523e-01  7.37267519e-06  2.67008523e-01  2.82729867e-01 
 2.67006355e-01  1.05454336e-05  2.67006355e-01  7.44434370e-06  2.67006355e-01  2.82731546e-01 
 2.67003416e-01  1.05454335e-05  2.67003416e-01  7.54073033e-06  2.67003416e-01  2.82733542e-01 
 2.67001927e-01  1.05454335e-05  2.67001927e-01  7.58923676e-06  2.67001927e-01  2.82735088e-01 
 2.66999655e-01  1.05454333e-05  2.66999655e-01  7.66278778e-06  2.66999655e-01  2.82736962e-01 
 2.66997791e-01  1.05454333e-05  2.66997791e-01  7.72275570e-06  2.66997791e-01  2.82738736e-01 
 2.66995070e-01  1.05454332e-05  2.66995070e-01  7.80962500e-06  2.66995070e-01  2.82740889e-01 
 2.66993431e-01  1.05454331e-05  2.66993431e-01  7.86159641e-06  2.66993431e-01  2.82742672e-01 
 2.66990894e-01  1.05454330e-05  2.66990894e-01  7.94147516e-06  2.66990894e-01  2.82744864e-01 
 2.66988806e-01  1.05454329e-05  2.66988806e-01  8.00675436e-06  2.66988806e-01  2.82746927e-01 
 2.66985727e-01  1.05454328e-05  2.66985727e-01  8.10214832e-06  2.66985727e-01  2.82749461e-01 
 2.66984249e-01  1.05454327e-05  2.66984249e-01  8.14761242e-06  2.66984249e-01  2.82751364e-01 
 2.66981757e-01  1.05454326e-05  2.66981757e-01  8.22371308e-06  2.66981757e-01  2.82753757e-01 
 2.66979780e-01  1.05454324e-05  2.66979780e-01  8.28364880e-06  2.66979780e-01  2.82755972e-01 
 2.66976703e-01  1.05454323e-05  2.66976703e-01  8.37614723e-06  2.66976703e-01  2.82758744e-01 
 2.66974999e-01  1.05454323e-05  2.66974999e-01  8.42696524e-06  2.66974999e-01  2.82760934e-01 
 2.66972144e-01  1.05454321e-05  2.66972144e-01  8.51141385e-06  2.66972144e-01  2.82763719e-01 
 2.66969852e-01  1.05454320e-05  2.66969852e-01  8.57860649e-06  2.66969852e-01  2.82766290e-01 
 2.66966295e-01  1.05454318e-05  2.66966295e-01  8.68179141e-06  2.66966295e-01  2.82769539e-01 
 2.66965004e-01  1.05454317e-05  2.66965004e-01  8.71892393e-06  2.66965004e-01  2.82771716e-01 
 2.66962435e-01  1.05454316e-05  2.66962435e-01  8.79234122e-06  2.66962435e-01  2.82774587e-01 
 2.66960516e-01  1.05454314e-05  2.66960516e-01  8.84670478e-06  2.66960516e-01  2.82777170e-01 
 2.66957228e-01  1.05454313e-05  2.66957228e-01  8.93900660e-06  2.66957228e-01  2.82780529e-01 
 2.66955657e-01  1.05454312e-05  2.66955657e-01  8.98271795e-06  2.66955657e-01  2.82783025e-01 
 2.66952663e-01  1.05454310e-05  2.66952663e-01  9.06531266e-06  2.66952663e-01  2.82786342e-01 
 2.66950373e-01  1.05454309e-05  2.66950373e-01  9.12788652e-06  2.66950373e-01  2.82789328e-01 
 2.66946536e-01  1.05454307e-05  2.66946536e-01  9.23151057e-06  2.66946536e-01  2.82793236e-01 
 2.66945190e-01  1.05454306e-05  2.66945190e-01  9.26749173e-06  2.66945190e-01  2.82795795e-01 
 2.66942267e-01  1.05454304e-05  2.66942267e-01  9.34502131e-06  2.66942267e-01  2.82799302e-01 
 2.66940136e-01  1.05454303e-05  2.66940136e-01  9.40101469e-06  2.66940136e-01  2.82802404e-01 
 2.66936309e-01  1.05454301e-05  2.66936309e-01  9.50035323e-06  2.66936309e-01  2.82806561e-01 
 2.66934588e-01  1.05454299e-05  2.66934588e-01  9.54456070e-06  2.66934588e-01  2.82809522e-01 
 2.66931103e-01  1.05454298e-05  2.66931103e-01  9.63315098e-06  2.66931103e-01  2.82813601e-01 
 2.66928475e-01  1.05454296e-05  2.66928475e-01  9.69912773e-06  2.66928475e-01  2.82817215e-01 
